id,A_log2_qnorm_tumor_batchadj_score,A_log2_qnorm_tumor_batchadj_sd,A_log2_qnorm_tumor_batchadj_high,B_log2_qnorm_tumor_no_batchadj_score,B_log2_qnorm_tumor_no_batchadj_sd,B_log2_qnorm_tumor_no_batchadj_high,C_log2_raw_batchadj_score,C_log2_raw_batchadj_sd,C_log2_raw_batchadj_high,D_log2_qnorm_all120_batchadj_score,D_log2_qnorm_all120_batchadj_sd,D_log2_qnorm_all120_batchadj_high,E_log2_qnorm_within_batch_batchadj_score,E_log2_qnorm_within_batch_batchadj_sd,E_log2_qnorm_within_batch_batchadj_high,F_qnorm_raw_then_log2_tumor_batchadj_score,F_qnorm_raw_then_log2_tumor_batchadj_sd,F_qnorm_raw_then_log2_tumor_batchadj_high,G_qnorm_raw_within_batch_then_log2_batchadj_score,G_qnorm_raw_within_batch_then_log2_batchadj_sd,G_qnorm_raw_within_batch_then_log2_batchadj_high
CCA_TH_1,-0.28281929954507096,-0.6963655983029711,0,-0.2848066055601442,-0.7179659609845988,0,-0.08445206470002,-0.11685009069266328,0,-0.2828410444162479,-0.6964146373728969,0,-0.28421240152282773,-0.6978006344796025,0,-0.28275684626580094,-0.696236768163455,0,-0.2838061574750224,-0.696927634848062,0
CCA_TH_2,-0.21560693485083365,-0.5297241336865899,0,-0.21891206621324447,-0.5507971021209361,0,-0.6857062919773,-1.0143777516755808,0,-0.2155607376456647,-0.5296061258916738,0,-0.21722390055577045,-0.5321897105364166,0,-0.2150822177866904,-0.5284430089494352,0,-0.21671334788050436,-0.5310305438414993,0
CCA_TH_3,-0.09417155241454146,-0.22864604965409738,0,-0.10418624704977918,-0.2597474269605962,0,-1.3349169458707093,-1.9834928002512406,0,-0.09410230870692228,-0.22847343624439834,0,-0.09903231517447306,-0.23999302939359826,0,-0.09378440270321724,-0.22769490238856252,0,-0.09869048500725724,-0.23920121456955987,0
CCA_TH_4,-0.423932421792532,-1.0462312439305759,0,-0.4262490075224787,-1.0767933413006185,0,-0.35253545295800903,-0.5170339821243408,0,-0.42397381229982734,-1.0463260462515809,0,-0.4300731347099729,-1.0584017890274975,0,-0.4238913442107375,-1.0461683229746372,0,-0.42948014200279205,-1.0571285328958104,0
CCA_TH_5,-0.2245954422221554,-0.5520095872617803,0,-0.2369993122821284,-0.596682911708341,0,-0.10305966394054267,-0.1446267519869745,0,-0.2246533454328035,-0.5521494887753632,0,-0.22403517963928954,-0.5490287531477928,0,-0.22474349795709664,-0.5523973705033035,0,-0.22384589660969323,-0.5486668463422619,0
CCA_TH_6,0.07159769272235281,0.18235019967638394,1,0.06470765736513705,0.16872208735581912,1,0.47187589729742596,0.7136134833134287,1,0.07161600361779037,0.18239307627501403,1,0.07105717317071265,0.18050715961230868,1,0.07155898321903656,0.18226062907967697,1,0.07089979457391227,0.18013633017688155,1
CCA_TH_7,-0.22950680398396106,-0.5641864615760738,0,-0.23160317590588864,-0.5829933712816328,0,0.13132324564414885,0.20525044649283733,1,-0.22949963373129761,-0.564164923544964,0,-0.23244890873069898,-0.5698294193594641,0,-0.22962059626961281,-0.5644897406914317,0,-0.23231114398318575,-0.569598447245559,0
CCA_TH_8,0.05908107121007736,0.1513173956626707,1,0.05006112785890533,0.13156508393585492,1,0.19048778956931778,0.2935688521076207,1,0.0590710687213241,0.15129033585731824,1,0.05847384905924916,0.14939829910204214,1,0.05908247370069943,0.1513261344101201,1,0.05832639397723613,0.14904670081637278,1
CCA_TH_9,-0.46984615312045536,-1.1600664209741856,0,-0.46746180245196833,-1.1813467074403436,0,-0.7860514229186053,-1.1641688493159477,0,-0.4698649254309483,-1.160104187866204,0,-0.47425499020167067,-1.1676294595063854,0,-0.4697985182291019,-1.1599914421634077,0,-0.47382665180562156,-1.1667819669529906,0
CCA_TH_10,0.14086022570797926,0.3540747029321785,1,0.12616942623005398,0.3246453833788871,1,0.26399941585901515,0.40330399409177026,1,0.14088707206911608,0.35413729641480257,1,0.1424294988802604,0.3569559028159357,1,0.14112499648898105,0.35474392366768437,1,0.14239687930909806,0.3569236557442726,1
